date,actual,ensemble_pred,fold,TrendAgent_pred,MomentumAgent_pred,VolatilityAgent_pred,SequenceAgent_pred,TrendAgent_weight,MomentumAgent_weight,VolatilityAgent_weight,SequenceAgent_weight
2013-02-11,-0.0001978530113886,0.0011584946279424035,0,0.0009087001458781875,0.002998534357175231,0.0007267440087161958,0.0,0.25000004648459545,0.2499998216738467,0.25000005572410333,0.25000007611745456
2013-02-12,0.0016462775150277,0.00020683784053901182,0,0.0008961148167662501,-6.289268640102819e-05,-5.870978384336922e-06,0.0,0.2500000881899449,0.24999980441623026,0.2500000432581748,0.2500000641356499
2013-02-13,0.0008539917859369,0.0008417534728110508,0,0.0008871895812988242,0.0029247538186609745,-0.00044492745655588806,0.0,0.2500001300727062,0.24999973912520032,0.2500000429886902,0.25000008781340316
2013-02-14,0.0009200882992055,0.0003831844199327897,0,0.0008818854789053102,0.0002939070400316268,0.0003569449472706765,0.0,0.25000013976907043,0.24999973905547157,0.25000004479327503,0.25000007638218286
2013-02-15,-0.0011828112550151,0.001280532822093115,0,0.0008801406671447656,0.0014068800956010818,0.002835110994055867,0.0,0.25000021153114355,0.24999974954921708,0.24999981935714483,0.2500002195624945
2013-02-19,0.007467159267732,-9.430595819773836e-05,0,0.0009087151615478708,-0.0013095811009407043,2.364004285482224e-05,0.0,0.25000058125665753,0.24999926882552848,0.24999987926230255,0.2500002706555115
2013-02-20,-0.0125420807471842,0.00028595817382391154,0,0.000923067156602475,-0.0006921773892827332,0.0009129391983151436,0.0,0.250000173949611,0.24999988376801688,0.2499994787725438,0.25000046350982835
2013-02-21,-0.006097088049744,0.0007443333974497616,0,0.0009401527837557707,0.0014186447951942682,0.0006185373058542609,0.0,0.25000011264985345,0.24999964838147354,0.2499995280510893,0.25000071091758364
2013-02-22,0.0097248203257888,0.0011842151020924892,0,0.0009597653019445889,0.0018011024221777916,0.0019759985152632,0.0,0.25000003091964795,0.24999991767316165,0.24999986586925074,0.2500001855379397
2013-02-25,-0.0192102823466132,0.0017074257287929863,0,0.0010327635417894398,0.0020620012655854225,0.0037349406629800797,0.0,0.2500007727005291,0.2499995912245903,0.24999769010077205,0.25000194597410846
2013-02-26,0.006822212266852,0.0008110528070724581,0,0.0010600893667516965,0.0005685024661943316,0.0016156319761648774,0.0,0.2500008549126968,0.24999952576595708,0.24999792465016477,0.2500016946711813
2013-02-27,0.0125200404428914,0.0006011454648516878,0,0.001088674218292495,0.0021434910595417023,-0.0008275899454019964,0.0,0.25000117088091744,0.25000041681671165,0.24999705354827378,0.25000135875409707
2013-02-28,-0.0019768989870004,-0.001715864247772292,0,0.0011182268917743579,-0.004859242122620344,-0.0031224756967276335,0.0,0.2500010758119104,0.25000035354559064,0.2499971651648585,0.25000140547764055
2013-03-01,0.0032921178272773,0.00025494887374204097,0,0.001148447026817954,0.001348865800537169,-0.0014775409363210201,0.0,0.250001223173563,0.25000052138426093,0.2499968586714914,0.2500013967706846
2013-03-04,0.0053109471972458,-0.0002103620648171018,0,0.0012413226626120507,0.0006081208703108132,-0.002690932946279645,0.0,0.25000162734275055,0.2500007866835482,0.24999607614338293,0.2500015098303183
2013-03-05,0.0089189163240805,-0.0007918636286398011,0,0.001271081537156898,0.0021261749789118767,-0.006564829032868147,0.0,0.2500028146199537,0.2500022826604357,0.2499927320600591,0.25000217065955155
2013-03-06,0.0013600698702443,-0.0009927167203110034,0,0.0012999248366913681,-0.0007408092496916652,-0.00453012203797698,0.0,0.2500030705354595,0.2500024283224105,0.24999212072249116,0.25000238041963874
2013-03-07,0.0018111316396685,0.0010603055094515817,0,0.001327531349074704,0.0006006109178997576,0.002313130535185337,0.0,0.25000309738575005,0.25000242438505216,0.24999214711827872,0.2500023311109191
2013-03-08,0.0042550172052911,0.00020700363859517878,0,0.0013535822800576271,0.0017011555610224605,-0.0022268265020102262,0.0,0.25000335604959745,0.2500027304515997,0.2499915658983904,0.2500023476004125
2013-03-11,0.0037884630753408,0.0003908216493736641,0,0.0014206036467756143,0.0012844462180510163,-0.001141834887675941,0.0,0.2500035317367869,0.2500028895546036,0.24999127406618246,0.25000230464242706
2013-03-12,-0.0022458354705643,0.0002743258842803258,0,0.0014373516333139988,0.0008586671901866794,-0.0011987873585894704,0.0,0.25000337598918904,0.25000283200676066,0.2499914300542775,0.2500023619497727
2013-03-13,0.0014125359061569,0.0009964118808788783,0,0.0014510449828632234,0.0021602194756269455,0.0003743518318515271,0.0,0.250003398662333,0.25000284074100226,0.24999142581867892,0.25000233477798584
2013-03-14,0.0053094676028126,0.000975164328019341,0,0.0014614142100310159,0.003314856206998229,-0.0008757006726227701,0.0,0.2500035611761361,0.2500032739838488,0.24999100212531872,0.25000216271469633
2013-03-15,-0.0013208082911535,0.0007130164639159737,0,0.001468203522528427,0.0028295032680034637,-0.0014457509387284517,0.0,0.2500035339870778,0.25000301062938773,0.2499911690051013,0.2500022863784331
2013-03-18,-0.0055341556547722,-0.00047688717432970145,0,0.0014660871153067535,-0.0007242681458592415,-0.0026494732592254877,0.0,0.2500030031926831,0.2500031265528804,0.24999165525110034,0.25000221500333625
2013-03-19,-0.0023260951318127,0.0001733506158482099,0,0.001456321061925792,-0.0011984743177890778,0.00043556775199249387,0.0,0.2500028243717804,0.25000327361453334,0.24999164342993616,0.25000225858375014
2013-03-20,0.0069612580473963,0.0008860489796873108,0,0.0014419488225026664,0.00039099884452298284,0.0017112840432673693,0.0,0.2500029981346449,0.25000312973523997,0.24999188969634836,0.2500019824337668
2013-03-21,-0.0085796229446579,0.0006794547850868549,0,0.0014228240263302605,0.0023552400525659323,-0.0010603258851915598,0.0,0.2500026829778143,0.2500023265161412,0.24999266224715755,0.25000232825888696
2013-03-22,0.0080010179744803,0.0002801450447882807,0,0.0013988222907164332,-0.00029805858503095806,1.9804816474788822e-05,0.0,0.2500030943799222,0.2500021057694413,0.2499925708778197,0.25000222897281676
2013-03-25,-0.0041859035556096,0.0004191890384310985,0,0.001297975972774125,-0.00023300090106204152,0.0006117851589806378,0.0,0.2500028815411952,0.25000225412193383,0.24999253442066452,0.2500023299162065
2013-03-26,0.0079707945845646,0.0005520593046072506,0,0.0012536885228913762,-0.00036216023727320135,0.0010023987852036953,0.00031432596733793616,0.250003139418492,0.2500019040276584,0.2499927063141275,0.2500022502397221
2013-03-27,0.0,0.001229096396634122,0,0.0012042565878523969,0.0025397506542503834,0.0009492425597272813,0.000223127004574053,0.2500031584844756,0.250001798090131,0.24999273910822858,0.25000230431716486
2013-03-28,0.0030684173766605,0.0007852283442688116,0,0.0011497008536129315,0.00108817545697093,0.0006968898815102875,0.00020614317327272147,0.25000320032051565,0.2500018339287753,0.2499927323771931,0.25000223337351607
2013-04-01,-0.0039649094008907,0.0019514198038601417,0,0.0008835151366691377,0.0023411824367940426,0.004403179511427879,0.0001779000594979152,0.2500035530224152,0.2500017801361781,0.2499919221569074,0.2500027446844993
2013-04-02,0.0049223412513846,0.00036541272937154956,0,0.0008045330443076288,-0.0005200342275202274,0.0009385286830365658,0.00023864339163992554,0.25000365651378137,0.2500015670469649,0.24999205278214084,0.2500027236571129
2013-04-03,-0.0101909518961354,0.0013745320030552463,0,0.0007210778839017501,0.00327032501809299,0.001296652015298605,0.00021008097974117845,0.25000405736389064,0.2500004145467665,0.24999213130733938,0.2500033967820035
2013-04-04,0.0040501444356571,0.0003401684185536986,0,0.0006333430012191649,5.6305543694179505e-05,0.00032665839535184205,0.0003443619643803686,0.25000411064157757,0.25000036091807365,0.24999212983879598,0.25000339860155285
2013-04-05,-0.004501523141535,0.0006022874750471168,0,0.0005415444576525939,0.0015550183597952127,-1.911400795506779e-05,0.00033168483059853315,0.2500041346178596,0.2500001036646176,0.24999228732325363,0.25000347439426907
